"loc_year_month","mosq_species","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site038_2018.06","Cx_pipiens_sl",18-06-18,2018,6,40.74067,-112.035159,"ET Tech",38,"Passer_domesticus","House_sparrow","SPAdes","SQ162",112,16,2018-06-21,2018,6,-112.046526,40.740405,38,"ET Tech","Negative"
"site038_2018.06","Cx_pipiens_sl",18-06-18,2018,6,40.74067,-112.035159,"ET Tech",38,"Passer_domesticus","House_sparrow","SPAdes","SQ162",147,17,2018-06-26,2018,6,-112.046526,40.740405,38,"ET Tech","Negative"
"site038_2018.06","Cx_pipiens_sl",18-06-18,2018,6,40.74067,-112.035159,"ET Tech",38,"Passer_domesticus","House_sparrow","SPAdes","SQ162",198,20,2018-06-28,2018,6,-112.046526,40.740405,38,"ET Tech","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",528,86,2018-07-26,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",672,100,2018-07-31,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",527,100,2018-07-26,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",418,100,2018-07-17,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",673,69,2018-07-31,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",265,88,2018-07-03,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",384,108,2018-07-12,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site050_2018.07","Cx_tarsalis",18-07-09,2018,7,40.78436798,-112.1090292,"South Saratoga",50,"Cistothorus_palustris","Marsh_wren","SPAdes","SQ039",419,23,2018-07-17,2018,7,-112.109041,40.784374,50,"South Saratoga","Negative"
"site054_2018.07","Cx_pipiens_sl",18-07-01,2018,7,40.783556,-112.067639,"Conveyor Belt Resting Box",54,"Haemorhous_mexicanus","House_finch","SPAdes","SQ246",684,20,2018-07-31,2018,7,-112.06171,40.78772,54,"Goat Farm","Negative"
"site054_2018.07","Cx_pipiens_sl",18-07-01,2018,7,40.783556,-112.067639,"Conveyor Belt Resting Box",54,"Haemorhous_mexicanus","House_finch","SPAdes","SQ246",567,19,2018-07-26,2018,7,-112.06171,40.78772,54,"Goat Farm","Negative"
"site054_2018.07","Cx_pipiens_sl",18-07-01,2018,7,40.783556,-112.067639,"Conveyor Belt Resting Box",54,"Haemorhous_mexicanus","House_finch","SPAdes","SQ246",458,10,2018-07-19,2018,7,-112.06171,40.78772,54,"Goat Farm","Negative"
"site060_2020.07","Cx_pipiens_sl",20-07-21,2020,7,40.74804853,-111.9678782,"Keto",60,"Haemorhous_mexicanus","House_finch","SPAdes","SQ181",37,100,2020-07-07,2020,7,-111.967566,40.747503,60,"KETO Pumps","Negative"
"site060_2020.07","Cx_pipiens_sl",20-07-21,2020,7,40.74804853,-111.9678782,"Keto",60,"Haemorhous_mexicanus","House_finch","SPAdes","SQ181",162,59,2020-07-14,2020,7,-111.967566,40.747503,60,"KETO Pumps","Negative"
"site060_2020.07","Cx_pipiens_sl",20-07-21,2020,7,40.74804853,-111.9678782,"Keto",60,"Haemorhous_mexicanus","House_finch","SPAdes","SQ181",190,90,2020-07-30,2020,7,-111.967566,40.747503,60,"KETO Pumps","Negative"
"site060_2020.07","Cx_pipiens_sl",20-07-21,2020,7,40.74804853,-111.9678782,"Keto",60,"Pica_hudsonia","Black-billed_magpie","SPAdes","SQ182",37,100,2020-07-07,2020,7,-111.967566,40.747503,60,"KETO Pumps","Negative"
