"loc_year_month","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","mosq_species.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","mosq_species.y","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ227",230,"Cx_tarsalis",46,2018-07-03,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ227",452,"Cx_tarsalis",65,2018-07-17,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","SPAdes","SQ226",471,"Cx_pipiens_sl",12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","SPAdes","SQ226",230,"Cx_tarsalis",46,2018-07-03,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Haemorhous_mexicanus","House_finch","SPAdes","SQ226",452,"Cx_tarsalis",65,2018-07-17,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ225",471,"Cx_pipiens_sl",12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ225",230,"Cx_tarsalis",46,2018-07-03,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ225",452,"Cx_tarsalis",65,2018-07-17,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ229",471,"Cx_pipiens_sl",12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Cx_pipiens_sl","Passer_domesticus","House_sparrow","SPAdes","SQ229",230,"Cx_tarsalis",46,2018-07-03,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
